Notes,State,State Code,Year,Year Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
Total,Alaska,2,2007,2007,,,3463,680300,509,780.6,0.00%
,Alaska,2,2008,2008,Drug-induced causes,D,132,687455,19.2,19,0.00%
,Alaska,2,2008,2008,Alcohol-induced causes,A,147,687455,21.4,21.6,0.00%
,Alaska,2,2008,2008,All other non-drug and non-alcohol causes,O,3215,687455,467.7,720.7,0.00%
Total,Alaska,2,2008,2008,,,3494,687455,508.3,761.3,0.00%
,Alaska,2,2009,2009,Drug-induced causes,D,133,698895,19,18.1,0.00%
,Alaska,2,2009,2009,Alcohol-induced causes,A,149,698895,21.3,21.8,0.00%
,Alaska,2,2009,2009,All other non-drug and non-alcohol causes,O,3336,698895,477.3,723.9,0.00%
Total,Alaska,2,2009,2009,,,3618,698895,517.7,763.8,0.00%
,Alaska,2,2010,2010,Drug-induced causes,D,84,710231,11.8,11.9,0.00%
,Alaska,2,2010,2010,Alcohol-induced causes,A,122,710231,17.2,16.3,0.00%
,Alaska,2,2010,2010,All other non-drug and non-alcohol causes,O,3522,710231,495.9,743.3,0.00%
Total,Alaska,2,2010,2010,,,3728,710231,524.9,771.5,0.00%
,Alaska,2,2011,2011,Drug-induced causes,D,107,722718,14.8,14.2,0.00%
,Alaska,2,2011,2011,Alcohol-induced causes,A,131,722718,18.1,17.3,0.00%
,Alaska,2,2011,2011,All other non-drug and non-alcohol causes,O,3611,722718,499.6,716.2,0.00%
Total,Alaska,2,2011,2011,,,3849,722718,532.6,747.8,0.00%
,Alaska,2,2012,2012,Drug-induced causes,D,132,731449,18,17.8,0.00%
,Alaska,2,2012,2012,Alcohol-induced causes,A,122,731449,16.7,15.9,0.00%
,Alaska,2,2012,2012,All other non-drug and non-alcohol causes,O,3658,731449,500.1,697.7,0.00%
Total,Alaska,2,2012,2012,,,3912,731449,534.8,731.4,0.00%
,Alaska,2,2013,2013,Drug-induced causes,D,110,735132,15,15.1,0.00%
,Alaska,2,2013,2013,Alcohol-induced causes,A,126,735132,17.1,16.7,0.00%
,Alaska,2,2013,2013,All other non-drug and non-alcohol causes,O,3761,735132,511.6,692.7,0.00%
Total,Alaska,2,2013,2013,,,3997,735132,543.7,724.4,0.00%
,Alaska,2,2014,2014,Drug-induced causes,D,127,736732,17.2,17.1,0.00%
,Alaska,2,2014,2014,Alcohol-induced causes,A,139,736732,18.9,18.2,0.00%
,Alaska,2,2014,2014,All other non-drug and non-alcohol causes,O,3862,736732,524.2,701.4,0.00%
Total,Alaska,2,2014,2014,,,4128,736732,560.3,736.8,0.00%
,Alaska,2,2015,2015,Drug-induced causes,D,127,738432,17.2,16.8,0.00%
,Alaska,2,2015,2015,Alcohol-induced causes,A,161,738432,21.8,21.1,0.00%
,Alaska,2,2015,2015,All other non-drug and non-alcohol causes,O,4028,738432,545.5,709.5,0.00%
Total,Alaska,2,2015,2015,,,4316,738432,584.5,747.4,0.00%
,Alaska,2,2016,2016,Drug-induced causes,D,138,741894,18.6,18.1,0.00%
,Alaska,2,2016,2016,Alcohol-induced causes,A,183,741894,24.7,23.4,0.00%
,Alaska,2,2016,2016,All other non-drug and non-alcohol causes,O,4173,741894,562.5,704.1,0.00%
Total,Alaska,2,2016,2016,,,4494,741894,605.7,745.6,0.00%
,Alaska,2,2017,2017,Drug-induced causes,D,158,739795,21.4,21.6,0.00%
,Alaska,2,2017,2017,Alcohol-induced causes,A,159,739795,21.5,20.2,0.00%
,Alaska,2,2017,2017,All other non-drug and non-alcohol causes,O,4094,739795,553.4,666.9,0.00%
Total,Alaska,2,2017,2017,,,4411,739795,596.2,708.8,0.00%
Total,Alaska,2,,,,,67789,13100743,517.4,764.2,0.10%
,Arizona,4,1999,1999,Drug-induced causes,D,557,5023823,11.1,11.5,0.00%
,Arizona,4,1999,1999,Alcohol-induced causes,A,468,5023823,9.3,9.7,0.00%
,Arizona,4,1999,1999,All other non-drug and non-alcohol causes,O,39025,5023823,776.8,797.3,0.10%
Total,Arizona,4,1999,1999,,,40050,5023823,797.2,818.4,0.10%
,Arizona,4,2000,2000,Drug-induced causes,D,559,5130632,10.9,11.3,0.00%
,Arizona,4,2000,2000,Alcohol-induced causes,A,472,5130632,9.2,9.6,0.00%
,Arizona,4,2000,2000,All other non-drug and non-alcohol causes,O,39469,5130632,769.3,789.5,0.10%
Total,Arizona,4,2000,2000,,,40500,5130632,789.4,810.4,0.10%
,Arizona,4,2001,2001,Drug-induced causes,D,598,5273477,11.3,11.8,0.00%
,Arizona,4,2001,2001,Alcohol-induced causes,A,450,5273477,8.5,8.8,0.00%
,Arizona,4,2001,2001,All other non-drug and non-alcohol causes,O,40010,5273477,758.7,775.2,0.10%
Total,Arizona,4,2001,2001,,,41058,5273477,778.6,795.9,0.10%
,Arizona,4,2002,2002,Drug-induced causes,D,667,5396255,12.4,12.8,0.00%
,Arizona,4,2002,2002,Alcohol-induced causes,A,515,5396255,9.5,9.8,0.00%
,Arizona,4,2002,2002,All other non-drug and non-alcohol causes,O,41634,5396255,771.5,788.6,0.10%
Total,Arizona,4,2002,2002,,,42816,5396255,793.4,811.2,0.10%
,Arizona,4,2003,2003,Drug-induced causes,D,739,5510364,13.4,13.9,0.00%
,Arizona,4,2003,2003,Alcohol-induced causes,A,572,5510364,10.4,10.6,0.00%
,Arizona,4,2003,2003,All other non-drug and non-alcohol causes,O,42081,5510364,763.7,773.9,0.10%
Total,Arizona,4,2003,2003,,,43392,5510364,787.5,798.4,0.10%
,Arizona,4,2004,2004,Drug-induced causes,D,803,5652404,14.2,14.8,0.00%
,Arizona,4,2004,2004,Alcohol-induced causes,A,590,5652404,10.4,10.4,0.00%
,Arizona,4,2004,2004,All other non-drug and non-alcohol causes,O,41805,5652404,739.6,745.9,0.10%
Total,Arizona,4,2004,2004,,,43198,5652404,764.2,771.1,0.10%
,Arizona,4,2005,2005,Drug-induced causes,D,849,5839077,14.5,15.1,0.00%
,Arizona,4,2005,2005,Alcohol-induced causes,A,667,5839077,11.4,11.3,0.00%
,Arizona,4,2005,2005,All other non-drug and non-alcohol causes,O,44311,5839077,758.9,760.3,0.10%
Total,Arizona,4,2005,2005,,,45827,5839077,784.8,786.7,0.10%
,Arizona,4,2006,2006,Drug-induced causes,D,959,6029141,15.9,16.4,0.00%
,Arizona,4,2006,2006,Alcohol-induced causes,A,664,6029141,11,10.9,0.00%
,Arizona,4,2006,2006,All other non-drug and non-alcohol causes,O,44742,6029141,742.1,739.9,0.10%
Total,Arizona,4,2006,2006,,,46365,6029141,769,767.1,0.10%
,Arizona,4,2007,2007,Drug-induced causes,D,981,6167681,15.9,16.3,0.00%
,Arizona,4,2007,2007,Alcohol-induced causes,A,747,6167681,12.1,12,0.00%
,Arizona,4,2007,2007,All other non-drug and non-alcohol causes,O,43826,6167681,710.6,702.7,0.10%
Total,Arizona,4,2007,2007,,,45554,6167681,738.6,731,0.10%
,Arizona,4,2008,2008,Drug-induced causes,D,853,6280362,13.6,13.9,0.00%
,Arizona,4,2008,2008,Alcohol-induced causes,A,784,6280362,12.5,12.2,0.00%
,Arizona,4,2008,2008,All other non-drug and non-alcohol causes,O,44186,6280362,703.6,688.3,0.10%
Total,Arizona,4,2008,2008,,,45823,6280362,729.6,714.5,0.10%
,Arizona,4,2009,2009,Drug-induced causes,D,1041,6343154,16.4,16.7,0.00%
,Arizona,4,2009,2009,Alcohol-induced causes,A,804,6343154,12.7,12.2,0.00%
,Arizona,4,2009,2009,All other non-drug and non-alcohol causes,O,43971,6343154,693.2,664.8,0.10%
Total,Arizona,4,2009,2009,,,45816,6343154,722.3,693.8,0.10%
,Arizona,4,2010,2010,Drug-induced causes,D,1141,6392017,17.9,18.2,0.00%
,Arizona,4,2010,2010,Alcohol-induced causes,A,987,6392017,15.4,14.7,0.00%
,Arizona,4,2010,2010,All other non-drug and non-alcohol causes,O,44634,6392017,698.3,660.2,0.10%
Total,Arizona,4,2010,2010,,,46762,6392017,731.6,693.1,0.10%
,Arizona,4,2011,2011,Drug-induced causes,D,1118,6482505,17.2,17.5,0.00%
,Arizona,4,2011,2011,Alcohol-induced causes,A,1008,6482505,15.5,14.7,0.00%
,Arizona,4,2011,2011,All other non-drug and non-alcohol causes,O,46255,6482505,713.5,656.7,0.10%
Total,Arizona,4,2011,2011,,,48381,6482505,746.3,688.9,0.10%
,Arizona,4,2012,2012,Drug-induced causes,D,1206,6553255,18.4,18.8,0.00%
,Arizona,4,2012,2012,Alcohol-induced causes,A,1056,6553255,16.1,14.9,0.00%
,Arizona,4,2012,2012,All other non-drug and non-alcohol causes,O,47287,6553255,721.6,649.3,0.10%
Total,Arizona,4,2012,2012,,,49549,6553255,756.1,682.9,0.10%
,Arizona,4,2013,2013,Drug-induced causes,D,1304,6626624,19.7,19.9,0.00%
,Arizona,4,2013,2013,Alcohol-induced causes,A,1138,6626624,17.2,16,0.00%
,Arizona,4,2013,2013,All other non-drug and non-alcohol causes,O,48092,6626624,725.7,638.2,0.10%
Total,Arizona,4,2013,2013,,,50534,6626624,762.6,674.2,0.10%
,Arizona,4,2014,2014,Drug-induced causes,D,1274,6731484,18.9,19.1,0.00%
,Arizona,4,2014,2014,Alcohol-induced causes,A,1170,6731484,17.4,16.1,0.00%
,Arizona,4,2014,2014,All other non-drug and non-alcohol causes,O,49094,6731484,729.3,626.5,0.10%
Total,Arizona,4,2014,2014,,,51538,6731484,765.6,661.7,0.10%
,Arizona,4,2015,2015,Drug-induced causes,D,1351,6828065,19.8,20.1,0.00%
,Arizona,4,2015,2015,Alcohol-induced causes,A,1277,6828065,18.7,17.3,0.00%
,Arizona,4,2015,2015,All other non-drug and non-alcohol causes,O,51671,6828065,756.7,634.4,0.10%
Total,Arizona,4,2015,2015,,,54299,6828065,795.2,671.8,0.10%
,Arizona,4,2016,2016,Drug-induced causes,D,1500,6931071,21.6,21.9,0.00%
,Arizona,4,2016,2016,Alcohol-induced causes,A,1327,6931071,19.1,17.6,0.00%
,Arizona,4,2016,2016,All other non-drug and non-alcohol causes,O,53818,6931071,776.5,636.3,0.10%
Total,Arizona,4,2016,2016,,,56645,6931071,817.3,675.8,0.10%
,Arizona,4,2017,2017,Drug-induced causes,D,1628,7016270,23.2,23.6,0.00%
,Arizona,4,2017,2017,Alcohol-induced causes,A,1228,7016270,17.5,16.2,0.00%
,Arizona,4,2017,2017,All other non-drug and non-alcohol causes,O,54902,7016270,782.5,638.7,0.10%
Total,Arizona,4,2017,2017,,,57758,7016270,823.2,678.5,0.10%
Total,Arizona,4,,,,,895865,116207661,770.9,723.9,1.90%
,Arkansas,5,1999,1999,Drug-induced causes,D,121,2651860,4.6,4.7,0.00%
,Arkansas,5,1999,1999,Alcohol-induced causes,A,120,2651860,4.5,4.5,0.00%
,Arkansas,5,1999,1999,All other non-drug and non-alcohol causes,O,27684,2651860,1043.9,966.1,0.10%
Total,Arkansas,5,1999,1999,,,27925,2651860,1053,975.3,0.10%
,Arkansas,5,2000,2000,Drug-induced causes,D,151,2673400,5.6,5.8,0.00%
,Arkansas,5,2000,2000,Alcohol-induced causes,A,113,2673400,4.2,4.2,0.00%
,Arkansas,5,2000,2000,All other non-drug and non-alcohol causes,O,27953,2673400,1045.6,967.1,0.10%
Total,Arkansas,5,2000,2000,,,28217,2673400,1055.5,977.1,0.10%
,Arkansas,5,2001,2001,Drug-induced causes,D,131,2691571,4.9,5,0.00%
,Arkansas,5,2001,2001,Alcohol-induced causes,A,161,2691571,6,5.8,0.00%
,Arkansas,5,2001,2001,All other non-drug and non-alcohol causes,O,27467,2691571,1020.5,944.5,0.10%
Total,Arkansas,5,2001,2001,,,27759,2691571,1031.3,955.4,0.10%
,Arkansas,5,2002,2002,Drug-induced causes,D,190,2705927,7,7.3,0.00%
,Arkansas,5,2002,2002,Alcohol-induced causes,A,136,2705927,5,4.8,0.00%
,Arkansas,5,2002,2002,All other non-drug and non-alcohol causes,O,28187,2705927,1041.7,963.1,0.10%
Total,Arkansas,5,2002,2002,,,28513,2705927,1053.7,975.2,0.10%
,Arkansas,5,2003,2003,Drug-induced causes,D,203,2724816,7.5,7.7,0.00%
,Arkansas,5,2003,2003,Alcohol-induced causes,A,138,2724816,5.1,4.8,0.00%
,Arkansas,5,2003,2003,All other non-drug and non-alcohol causes,O,27577,2724816,1012.1,935.6,0.10%
Total,Arkansas,5,2003,2003,,,27918,2724816,1024.6,948.2,0.10%
,Arkansas,5,2004,2004,Drug-induced causes,D,249,2749686,9.1,9.4,0.00%
,Arkansas,5,2004,2004,Alcohol-induced causes,A,131,2749686,4.8,4.6,0.00%
,Arkansas,5,2004,2004,All other non-drug and non-alcohol causes,O,27148,2749686,987.3,913.5,0.10%
Total,Arkansas,5,2004,2004,,,27528,2749686,1001.1,927.4,0.10%
,Arkansas,5,2005,2005,Drug-induced causes,D,286,2781097,10.3,10.7,0.00%
,Arkansas,5,2005,2005,Alcohol-induced causes,A,146,2781097,5.2,4.9,0.00%
,Arkansas,5,2005,2005,All other non-drug and non-alcohol causes,O,27623,2781097,993.2,916,0.10%
Total,Arkansas,5,2005,2005,,,28055,2781097,1008.8,931.5,0.10%
,Arkansas,5,2006,2006,Drug-induced causes,D,307,2821761,10.9,11.3,0.00%
,Arkansas,5,2006,2006,Alcohol-induced causes,A,171,2821761,6.1,5.7,0.00%
,Arkansas,5,2006,2006,All other non-drug and non-alcohol causes,O,27423,2821761,971.8,892.5,0.10%
Total,Arkansas,5,2006,2006,,,27901,2821761,988.8,909.5,0.10%
,Arkansas,5,2007,2007,Drug-induced causes,D,326,2848650,11.4,11.8,0.00%
,Arkansas,5,2007,2007,Alcohol-induced causes,A,173,2848650,6.1,5.6,0.00%
,Arkansas,5,2007,2007,All other non-drug and non-alcohol causes,O,27692,2848650,972.1,888.9,0.10%
Total,Arkansas,5,2007,2007,,,28191,2848650,989.6,906.2,0.10%
,Arkansas,5,2008,2008,Drug-induced causes,D,390,2874554,13.6,14,0.00%
,Arkansas,5,2008,2008,Alcohol-induced causes,A,200,2874554,7,6.5,0.00%
,Arkansas,5,2008,2008,All other non-drug and non-alcohol causes,O,28732,2874554,999.5,906.8,0.10%
Total,Arkansas,5,2008,2008,,,29322,2874554,1020.1,927.3,0.10%
,Arkansas,5,2009,2009,Drug-induced causes,D,384,2896843,13.3,13.7,0.00%
,Arkansas,5,2009,2009,Alcohol-induced causes,A,173,2896843,6,5.6,0.00%
,Arkansas,5,2009,2009,All other non-drug and non-alcohol causes,O,28116,2896843,970.6,877.2,0.10%
Total,Arkansas,5,2009,2009,,,28673,2896843,989.8,896.4,0.10%
,Arkansas,5,2010,2010,Drug-induced causes,D,374,2915918,12.8,13.3,0.00%
,Arkansas,5,2010,2010,Alcohol-induced causes,A,179,2915918,6.1,5.7,0.00%
,Arkansas,5,2010,2010,All other non-drug and non-alcohol causes,O,28363,2915918,972.7,873.7,0.10%
Total,Arkansas,5,2010,2010,,,28916,2915918,991.7,892.7,0.10%
,Arkansas,5,2011,2011,Drug-induced causes,D,375,2937979,12.8,13.3,0.00%
,Arkansas,5,2011,2011,Alcohol-induced causes,A,176,2937979,6,5.4,0.00%
,Arkansas,5,2011,2011,All other non-drug and non-alcohol causes,O,29102,2937979,990.5,876.5,0.10%
Total,Arkansas,5,2011,2011,,,29653,2937979,1009.3,895.3,0.10%
,Arkansas,5,2012,2012,Drug-induced causes,D,398,2949131,13.5,13.9,0.00%
,Arkansas,5,2012,2012,Alcohol-induced causes,A,175,2949131,5.9,5.3,0.00%
,Arkansas,5,2012,2012,All other non-drug and non-alcohol causes,O,29544,2949131,1001.8,878.3,0.10%
Total,Arkansas,5,2012,2012,,,30117,2949131,1021.2,897.5,0.10%
,Arkansas,5,2013,2013,Drug-induced causes,D,343,2959373,11.6,11.8,0.00%
,Arkansas,5,2013,2013,Alcohol-induced causes,A,189,2959373,6.4,5.9,0.00%
,Arkansas,5,2013,2013,All other non-drug and non-alcohol causes,O,29905,2959373,1010.5,876.1,0.10%
Total,Arkansas,5,2013,2013,,,30437,2959373,1028.5,893.8,0.10%
,Arkansas,5,2014,2014,Drug-induced causes,D,377,2966369,12.7,13.3,0.00%
,Arkansas,5,2014,2014,Alcohol-induced causes,A,209,2966369,7,6.2,0.00%
,Arkansas,5,2014,2014,All other non-drug and non-alcohol causes,O,29881,2966369,1007.3,864.2,0.10%
Total,Arkansas,5,2014,2014,,,30467,2966369,1027.1,883.7,0.10%
,Arkansas,5,2015,2015,Drug-induced causes,D,425,2978204,14.3,14.9,0.00%
,Arkansas,5,2015,2015,Alcohol-induced causes,A,242,2978204,8.1,7.2,0.00%
,Arkansas,5,2015,2015,All other non-drug and non-alcohol causes,O,30950,2978204,1039.2,879.6,0.10%
Total,Arkansas,5,2015,2015,,,31617,2978204,1061.6,901.8,0.10%
,Arkansas,5,2016,2016,Drug-induced causes,D,423,2988248,14.2,14.7,0.00%
,Arkansas,5,2016,2016,Alcohol-induced causes,A,286,2988248,9.6,8.5,0.00%
,Arkansas,5,2016,2016,All other non-drug and non-alcohol causes,O,31047,2988248,1039,870.1,0.10%
Total,Arkansas,5,2016,2016,,,31756,2988248,1062.7,893.2,0.10%
,Arkansas,5,2017,2017,Drug-induced causes,D,481,3004279,16,16.7,0.00%
,Arkansas,5,2017,2017,Alcohol-induced causes,A,261,3004279,8.7,7.9,0.00%
,Arkansas,5,2017,2017,All other non-drug and non-alcohol causes,O,31846,3004279,1060,875.5,0.10%
Total,Arkansas,5,2017,2017,,,32588,3004279,1084.7,900.1,0.10%
Total,Arkansas,5,,,,,555553,54119666,1026.5,918.6,1.20%
,California,6,1999,1999,Drug-induced causes,D,3091,33499204,9.2,9.4,0.00%
,California,6,1999,1999,Alcohol-induced causes,A,3286,33499204,9.8,10.8,0.00%
,California,6,1999,1999,All other non-drug and non-alcohol causes,O,223003,33499204,665.7,782.1,0.50%
