Notes,Year,Year Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,2005,2005,All other non-drug and non-alcohol causes,O,2392842,295516599,809.7,796.7,5.00%
Total,2005,2005,,,2448017,295516599,828.4,815,5.10%
,2006,2006,Drug-induced causes,D,38396,298379912,12.9,12.8,0.10%
,2006,2006,Alcohol-induced causes,A,22073,298379912,7.4,7,0.00%
,2006,2006,All other non-drug and non-alcohol causes,O,2365795,298379912,792.9,772,5.00%
Total,2006,2006,,,2426264,298379912,813.1,791.8,5.10%
,2007,2007,Drug-induced causes,D,38371,301231207,12.7,12.6,0.10%
,2007,2007,Alcohol-induced causes,A,23199,301231207,7.7,7.2,0.00%
,2007,2007,All other non-drug and non-alcohol causes,O,2362142,301231207,784.2,755.4,4.90%
Total,2007,2007,,,2423712,301231207,804.6,775.3,5.10%
,2008,2008,Drug-induced causes,D,38649,304093966,12.7,12.6,0.10%
,2008,2008,Alcohol-induced causes,A,24189,304093966,8,7.4,0.10%
,2008,2008,All other non-drug and non-alcohol causes,O,2409146,304093966,792.2,755,5.00%
Total,2008,2008,,,2471984,304093966,812.9,774.9,5.20%
,2009,2009,Drug-induced causes,D,39147,306771529,12.8,12.6,0.10%
,2009,2009,Alcohol-induced causes,A,24518,306771529,8,7.4,0.10%
,2009,2009,All other non-drug and non-alcohol causes,O,2373498,306771529,773.7,729.6,5.00%
Total,2009,2009,,,2437163,306771529,794.5,749.6,5.10%
,2010,2010,Drug-induced causes,D,40393,308745538,13.1,12.9,0.10%
,2010,2010,Alcohol-induced causes,A,25692,308745538,8.3,7.6,0.10%
,2010,2010,All other non-drug and non-alcohol causes,O,2402350,308745538,778.1,726.4,5.00%
Total,2010,2010,,,2468435,308745538,799.5,747,5.20%
,2011,2011,Drug-induced causes,D,43544,311591917,14,13.9,0.10%
,2011,2011,Alcohol-induced causes,A,26654,311591917,8.6,7.7,0.10%
,2011,2011,All other non-drug and non-alcohol causes,O,2445260,311591917,784.8,719.7,5.10%
Total,2011,2011,,,2515458,311591917,807.3,741.3,5.30%
,2012,2012,Drug-induced causes,D,43819,313914040,14,13.8,0.10%
,2012,2012,Alcohol-induced causes,A,27762,313914040,8.8,8,0.10%
,2012,2012,All other non-drug and non-alcohol causes,O,2471698,313914040,787.4,711,5.20%
Total,2012,2012,,,2543279,313914040,810.2,732.8,5.30%
,2013,2013,Drug-induced causes,D,46471,316128839,14.7,14.6,0.10%
,2013,2013,Alcohol-induced causes,A,29001,316128839,9.2,8.2,0.10%
,2013,2013,All other non-drug and non-alcohol causes,O,2521521,316128839,797.6,709.2,5.30%
Total,2013,2013,,,2596993,316128839,821.5,731.9,5.40%
,2014,2014,Drug-induced causes,D,49714,318857056,15.6,15.5,0.10%
,2014,2014,Alcohol-induced causes,A,30722,318857056,9.6,8.5,0.10%
,2014,2014,All other non-drug and non-alcohol causes,O,2545982,318857056,798.5,700.6,5.30%
Total,2014,2014,,,2626418,318857056,823.7,724.6,5.50%
,2015,2015,Drug-induced causes,D,55403,321418820,17.2,17.2,0.10%
,2015,2015,Alcohol-induced causes,A,33171,321418820,10.3,9.1,0.10%
,2015,2015,All other non-drug and non-alcohol causes,O,2624056,321418820,816.4,706.7,5.50%
Total,2015,2015,,,2712630,321418820,844,733.1,5.70%
,2016,2016,Drug-induced causes,D,67265,323127513,20.8,20.8,0.10%
,2016,2016,Alcohol-induced causes,A,34865,323127513,10.8,9.5,0.10%
,2016,2016,All other non-drug and non-alcohol causes,O,2642118,323127513,817.7,698.4,5.50%
Total,2016,2016,,,2744248,323127513,849.3,728.8,5.70%
,2017,2017,Drug-induced causes,D,73990,325719178,22.7,22.8,0.20%
,2017,2017,Alcohol-induced causes,A,35823,325719178,11,9.6,0.10%
,2017,2017,All other non-drug and non-alcohol causes,O,2703690,325719178,830.1,699.5,5.70%
Total,2017,2017,,,2813503,325719178,863.8,731.9,5.90%
Total,,,,,47728569,5761465567,828.4,778.8,100.00%
